iter	Passed	Remaining
0	1	166
1	3	155
2	4	148
3	5	135
4	6	127
5	8	126
6	9	120
7	10	122
8	12	125
9	13	125
10	15	125
11	17	126
12	18	125
13	21	131
14	23	132
15	26	136
16	27	134
17	28	131
18	32	138
19	34	139
20	36	135
21	37	131
22	38	128
23	40	127
24	41	124
25	42	122
26	44	119
27	45	116
28	46	113
29	48	112
30	49	110
31	50	108
32	52	105
33	53	103
34	54	101
35	55	99
36	56	96
37	58	94
38	58	92
39	59	89
40	60	87
41	61	84
42	62	82
43	62	80
44	63	78
45	64	76
46	66	74
47	67	73
48	68	71
49	69	69
50	70	67
51	71	65
52	72	64
53	73	62
54	74	60
55	76	59
56	77	58
57	78	56
58	78	54
59	79	53
60	80	51
61	81	50
62	82	48
63	84	47
64	85	46
65	86	44
66	87	43
67	88	41
68	89	40
69	90	38
70	91	37
71	92	35
72	94	34
73	95	33
74	96	32
75	97	30
76	98	29
77	99	27
78	100	26
79	102	25
80	103	24
81	104	22
82	105	21
83	105	20
84	106	18
85	107	17
86	109	16
87	110	15
88	111	13
89	112	12
90	113	11
91	114	9
92	115	8
93	115	7
94	116	6
95	118	4
96	119	3
97	120	2
98	121	1
99	122	0
